0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
0.54438573,-2.1092103,-1.3509306,3.4068847,4.622633,-1.7138677,2.2863295,-3.3194659,2.2659369,0.81683546,-0.50792193,-1.804605,0.64611334,-1.3353677,1.6763593,-2.6392927,2
-0.3073908,-4.8391485,-1.6637585,-2.3804455,1.2222579,0.60007244,0.96494126,0.5962351,-2.4542708,3.0000744,-0.14795159,0.8376382,0.74582857,2.2995367,-1.2652291,-1.9038032,1
0.03483464,-0.81409734,-0.7027701,3.192718,0.7004278,0.6976556,-1.4745277,-1.0523199,-0.053257503,0.93170196,-1.4459772,3.6410012,0.9295814,1.9404018,2.7276251,-2.9733047,2
0.60830647,-0.051688768,0.42515633,0.8255357,1.8529539,-0.32852235,-0.69162834,1.2964815,-1.1691977,4.2565293,-2.8101974,-1.0305654,-0.16140306,-2.7928836,2.0016873,-3.0896952,2
-0.093113735,-1.5349737,-2.1612747,-0.5317695,3.044726,-1.3511567,-1.0047808,-1.703747,-2.977812,3.1667812,2.331452,-1.287896,1.2206062,0.37218085,-3.5441883,-1.3359482,1
0.04256408,-0.09489415,0.13464321,2.697205,0.85374224,0.5397763,-1.526882,-1.8276438,-1.064218,1.615185,-1.4457741,3.8343728,0.92429006,0.23704126,2.143423,-2.98373,2
-2.9068003,-1.3800277,-1.139232,0.9205797,2.8745751,1.1115782,0.48099062,1.1915953,-1.5264758,-0.06406558,0.826537,1.2397385,0.14343601,-0.54359335,-3.4054682,-2.50409,1
1.9562461,0.665239,0.72246796,2.4106417,1.911171,-3.8037624,-0.776212,0.850647,-0.9439101,0.004454024,-2.4913497,0.29994014,0.9334921,0.07746738,0.37133172,-4.929707,2
2.1135159,-7.1003127,-1.3107203,-1.5293299,2.5772698,-0.3587473,-0.76980424,-1.4281695,-3.222742,1.5103986,-0.286739,0.23441851,1.0518368,1.5642928,-2.0940254,-0.34682125,1
0.28935742,0.20232269,-0.23904972,2.148046,0.090890914,0.61421615,-1.134515,-1.0943704,-1.6595145,1.8189294,-1.2466736,3.0838716,0.40138054,-1.4336079,1.1906863,-2.1188846,2
-1.8245119,-2.5678527,-0.7563834,1.7988089,2.432385,0.9908606,-0.8433025,0.156596,-1.5967058,2.956655,2.7199004,-0.5423356,-0.6776484,-0.024158556,-4.0354404,-1.5198044,1
-1.2021035,-0.9956234,-2.0675044,2.1154518,2.0520444,0.5517226,-1.2566186,0.8757855,-1.9629679,1.3479078,3.5221422,-1.274583,0.25177348,0.11016524,-3.6234276,-2.2833176,1
2.0801542,-0.24636742,0.4888538,2.8900871,1.663543,-3.4897606,-0.82879055,0.24931979,-0.0038270447,-0.82149774,-2.0269232,0.16890886,0.5243577,0.05838572,0.11046051,-4.616352,2
0.58430696,-3.0638845,-0.66796106,-0.1975064,3.2295306,-1.1282446,-2.6659527,-3.800651,-4.023415,1.2092626,2.8915937,-4.0767307,0.7138012,-0.32782906,-2.5801666,-0.6446979,1
0.008886784,-1.9159544,-2.4078226,0.6345503,3.5941544,-0.13380659,-1.5906652,-0.31965178,-1.352069,3.6514285,0.19163348,0.63065684,1.0168806,0.9874967,-4.8978868,-1.5418377,1
0.28513926,-1.849482,-1.4133155,-1.7148006,1.6759435,-1.7004985,-2.2468238,0.015262153,2.2305074,0.020073734,-0.8183052,1.3725753,-2.4395306,-3.396331,1.4234312,-2.4893782,2
-3.1283972,-3.6422973,0.70030355,0.09070999,1.8150733,1.8370184,2.7087877,-0.49451602,-1.3335987,-1.6925583,-0.8190763,0.8141601,0.68928826,-1.162879,-2.5317123,-2.7850323,1
-0.4481464,-2.7083733,-2.0402312,0.77777046,3.11558,1.0325357,-1.1774161,0.68765765,-1.284525,1.4948227,0.8337523,0.5457292,0.41225916,0.21966611,-3.8126175,-1.0338506,1
-2.2989137,-1.7135302,-2.5629067,-1.6254828,1.3104908,-1.5355382,-0.3503185,0.316778,-2.5122635,4.2145386,-1.0546286,1.0071653,-0.55329025,2.3026333,-2.5401797,-1.7845044,1
-2.491148,-0.78142554,-1.9085046,-0.015232548,1.6459712,-0.10098152,1.232591,1.0796785,-2.5331233,-0.13025218,3.7599468,0.1397976,1.2656679,0.21960819,-2.0914316,-4.151966,1
